train epoch: 0, loss: 0.005931, acc: 44.1583%, lr: 0.010000
test epoch: 0, loss: 0.002024, acc: 90.6300%, lr: 0.010000
train epoch: 1, loss: 0.004360, acc: 61.0383%, lr: 0.010000
test epoch: 1, loss: 0.001505, acc: 93.9000%, lr: 0.010000
train epoch: 2, loss: 0.003712, acc: 69.0700%, lr: 0.010000
test epoch: 2, loss: 0.001231, acc: 93.8700%, lr: 0.010000
train epoch: 3, loss: 0.003262, acc: 74.1767%, lr: 0.010000
test epoch: 3, loss: 0.001090, acc: 94.1700%, lr: 0.010000
train epoch: 4, loss: 0.002964, acc: 76.7983%, lr: 0.010000
test epoch: 4, loss: 0.000958, acc: 96.6500%, lr: 0.010000
train epoch: 5, loss: 0.002856, acc: 77.6550%, lr: 0.010000
test epoch: 5, loss: 0.000813, acc: 96.6300%, lr: 0.010000
train epoch: 6, loss: 0.002713, acc: 79.1217%, lr: 0.010000
test epoch: 6, loss: 0.000790, acc: 95.7300%, lr: 0.010000
train epoch: 7, loss: 0.002395, acc: 82.3167%, lr: 0.010000
test epoch: 7, loss: 0.000624, acc: 97.2300%, lr: 0.010000
train epoch: 8, loss: 0.002009, acc: 85.7800%, lr: 0.010000
test epoch: 8, loss: 0.000792, acc: 95.2400%, lr: 0.010000
train epoch: 9, loss: 0.001913, acc: 86.4367%, lr: 0.010000
test epoch: 9, loss: 0.000481, acc: 97.8600%, lr: 0.010000
train epoch: 10, loss: 0.001861, acc: 86.7683%, lr: 0.010000
test epoch: 10, loss: 0.000427, acc: 90.9300%, lr: 0.010000
train epoch: 11, loss: 0.001852, acc: 86.8833%, lr: 0.010000
test epoch: 11, loss: 0.000544, acc: 97.4400%, lr: 0.010000
